"all_trips_v2$customer_type","all_trips_v2$day_of_the_week","all_trips_v2$trip_duration"
"casual","lu.",37.9495625612791
"member","lu.",14.6211176798916
"casual","ma.",33.864549542406
"member","ma.",14.2885396162143
"casual","mi.",33.3550744009452
"member","mi.",14.3699179044823
"casual","ju.",34.3991698436984
"member","ju.",14.1948569886997
"casual","vi.",35.7794620281077
"member","vi.",14.8036445220083
"casual","sá.",40.0490114963191
"member","sá.",16.8714512617135
"casual","do.",43.1712771125071
"member","do.",17.3444520962924
